station_number,latitude,longitude,county,locality,address,institution
312,44.98230623950084,23.094623567532018,JUDEŢUL GORJ,TELEŞTI,"UAT: TELEŞTI, Localitate: TELEŞTI, Artera: Strada Principală, Nr: 132 Etaj: Parter  Rampa: Da",CLĂDIREA DE LÂNGĂ SEDIUL PRIMĂRIEI COMUNEI TELEŞTI - SALA DE ŞEDINŢE A CONSILIULUI LOCAL TELEŞTI
213,45.9868385396268,23.217869506785178,JUDEŢUL HUNEDOARA,VĂLENI,"UAT: ORAŞ GEOAGIU, Localitate: VĂLENI, Nr: 32 Etaj: Parter  Rampa: Nu",Şcoala Primară Văleni
158,46.78274053788878,25.53597712532616,JUDEŢUL HARGHITA,GHIDUŢ,"UAT: LĂZAREA, Localitate: GHIDUŢ, Nr: 1457 Etaj: Parter  Rampa: Da",CASA COMUNITARĂ
113,47.16762999999998,27.554351000000015,JUDEŢUL IAŞI,IAŞI,"UAT: MUNICIPIUL IAŞI, Localitate: IAŞI, Artera: Strada Amurgului, Nr: 2 Etaj: Parter  Rampa: Da",ŞCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”
1016,44.40229186240423,26.058500198199617,MUNICIPIUL BUCUREŞTI,BUCUREŞTI SECTORUL 5,"UAT: MUNICIPIUL BUCUREŞTI, Localitate: BUCUREŞTI SECTORUL 5, Artera: Şoseaua Alexandria, Nr: 21 Etaj: Parter  Rampa: Da",ȘCOALA GIMNAZIALĂ ”MIRCEA SÂNTIMBREANU”
241,45.084030000000055,27.32131999999999,JUDEŢUL BRĂILA,SURDILA-GĂISEANCA,"UAT: SURDILA-GĂISEANCA, Localitate: SURDILA-GĂISEANCA, Artera: Strada Brăilei, Nr: 36 Etaj: Parter  Rampa: Da",Școala Gimnazială Surdila Găiseanca
61,45.76305282826693,22.91862286666299,JUDEŢUL HUNEDOARA,HUNEDOARA,"UAT: MUNICIPIUL HUNEDOARA, Localitate: HUNEDOARA, Artera: Strada Prutului, Nr: 9 Etaj: Parter  Rampa: Da",Școala Gimnazială Nr. 1 ( FOSTA ȘCOALĂ GENERALĂ NR. 12)
596,44.93472600000004,26.297333000000005,JUDEŢUL PRAHOVA,MAGULA,"UAT: TOMŞANI, Localitate: MAGULA, Nr: 6A Etaj: Parter  Rampa: Da","ŞCOALA GIMNAZIALĂ ”PROF.DINU MIHAIL-DAN” SAT MAGULA, COMUNA TOMŞANI, JUDEŢUL PRAHOVA"
22,47.148001,24.48521,JUDEŢUL BISTRIŢA-NĂSĂUD,BISTRIŢA,"UAT: MUNICIPIUL BISTRIŢA, Localitate: BISTRIŢA, Artera: Aleea Bujorului, Nr: 4 Etaj: Parter  Rampa: Da",POLIȚIA LOCALĂ-PUNCT DE LUCRU SUBCETATE
284,47.24841147058094,26.767227004599697,JUDEŢUL IAŞI,BLĂGEŞTI,"UAT: MUNICIPIUL PAŞCANI, Localitate: BLĂGEŞTI, Nr: 36 Etaj: Parter  Rampa: Da",SCOALA BLAGESTI
